segment_index,ecg_peak_count,ppg_peak_count,ecg_heart_rate_bpm,ppg_heart_rate_bpm,fused_heart_rate_bpm,ecg_sqi,ppg_sqi,fused_hrv_source,ecg_interval_count,ecg_mean_nn_seconds,ecg_sdnn_seconds,ecg_rmssd_seconds,ecg_pnn50_percent,ppg_interval_count,ppg_mean_nn_seconds,ppg_sdnn_seconds,ppg_rmssd_seconds,ppg_pnn50_percent,fused_interval_count,fused_mean_nn_seconds,fused_sdnn_seconds,fused_rmssd_seconds,fused_pnn50_percent
12,35,35,69.2558,69.6341,69.4490,0.8382,0.8748,weighted_ecg_ppg,34,0.8664,0.0278,0.0340,6.0606,34,0.8616,0.0270,0.0400,12.1212,34,0.8639,0.0202,0.0262,9.0909
13,38,38,76.5728,76.2572,76.4120,0.8113,0.8434,weighted_ecg_ppg,37,0.7836,0.0389,0.0481,25.0000,37,0.7868,0.0440,0.0590,27.7778,37,0.7852,0.0305,0.0289,13.8889
14,38,38,75.7576,75.7990,75.7789,0.8325,0.8848,weighted_ecg_ppg,37,0.7920,0.0092,0.0069,0.0000,37,0.7916,0.0107,0.0121,0.0000,37,0.7918,0.0092,0.0077,0.0000
15,38,38,75.3462,75.2849,75.3147,0.8401,0.8873,weighted_ecg_ppg,37,0.7963,0.0081,0.0117,0.0000,37,0.7970,0.0144,0.0227,2.7778,37,0.7967,0.0078,0.0110,0.0000
16,36,36,70.9651,70.8502,70.9061,0.8118,0.8579,weighted_ecg_ppg,35,0.8455,0.0398,0.0586,35.2941,35,0.8469,0.0497,0.0837,55.8824,35,0.8462,0.0278,0.0359,17.6471
17,33,35,69.1553,69.2182,69.1876,0.8388,0.8872,ppg_only,31,0.8676,0.0085,0.0074,0.0000,34,0.8668,0.0477,0.0806,9.0909,34,0.8668,0.0477,0.0806,9.0909
18,35,35,69.5961,69.5012,69.5472,0.8515,0.9052,weighted_ecg_ppg,34,0.8621,0.0113,0.0089,0.0000,34,0.8633,0.0127,0.0095,0.0000,34,0.8627,0.0115,0.0074,0.0000
19,36,39,77.6492,77.7626,77.7073,0.8467,0.8902,ppg_only,34,0.7727,0.0066,0.0062,0.0000,38,0.7716,0.0091,0.0099,0.0000,38,0.7716,0.0091,0.0099,0.0000
20,39,42,80.2817,82.5282,81.4656,0.7650,0.8524,ppg_only,38,0.7474,0.1135,0.1659,5.4054,41,0.7270,0.0156,0.0136,0.0000,41,0.7270,0.0156,0.0136,0.0000
21,39,40,80.3882,80.3351,80.3610,0.8497,0.8920,ppg_only,37,0.7464,0.0119,0.0148,2.7778,39,0.7469,0.0142,0.0171,0.0000,39,0.7469,0.0142,0.0171,0.0000
22,40,40,79.5269,79.4405,79.4825,0.8335,0.8835,weighted_ecg_ppg,39,0.7545,0.0058,0.0073,0.0000,39,0.7553,0.0077,0.0104,0.0000,39,0.7549,0.0055,0.0061,0.0000
23,42,42,82.9736,82.9064,82.9392,0.8379,0.8783,weighted_ecg_ppg,41,0.7231,0.0047,0.0062,0.0000,41,0.7237,0.0074,0.0112,0.0000,41,0.7234,0.0044,0.0046,0.0000
24,41,41,81.6993,81.6993,81.6993,0.8445,0.9046,weighted_ecg_ppg,40,0.7344,0.0061,0.0068,0.0000,40,0.7344,0.0063,0.0082,0.0000,40,0.7344,0.0055,0.0061,0.0000
25,52,52,105.1691,107.2041,106.2247,0.7839,0.8448,weighted_ecg_ppg,51,0.5705,0.0799,0.1138,4.0000,50,0.5597,0.0088,0.0113,0.0000,50,0.5650,0.0406,0.0577,4.0816
26,51,53,101.4885,105.4624,103.5908,0.7317,0.8219,ppg_only,50,0.5912,0.1149,0.1173,4.0816,52,0.5689,0.0126,0.0217,3.9216,52,0.5689,0.0126,0.0217,3.9216
27,54,55,107.0851,109.0762,108.1338,0.7813,0.8694,weighted_ecg_ppg,53,0.5603,0.0751,0.1069,3.8462,54,0.5501,0.0054,0.0093,0.0000,53,0.5548,0.0358,0.0512,3.8462
28,53,54,106.1224,107.7820,106.9861,0.7701,0.8357,weighted_ecg_ppg,52,0.5654,0.0763,0.1087,3.9216,53,0.5567,0.0122,0.0150,1.9231,52,0.5607,0.0369,0.0526,3.9216
29,52,52,103.1832,103.1275,103.1544,0.8219,0.8795,weighted_ecg_ppg,51,0.5815,0.0049,0.0072,0.0000,51,0.5818,0.0070,0.0106,0.0000,51,0.5817,0.0042,0.0052,0.0000
